Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
0,1,0.44,0.35,900,2.75,14,50,38
1,1,5.24,5.12,105.2,0,0.3,100,145.3
1,1,5.24,5.12,105.2,0,0.3,80,132.1
1,1,5.24,5.12,105.2,0,0.3,60,115.6
1,1,5.24,5.12,105.2,0,0.3,50,105.7
1,1,5.24,5.12,105.2,0,0.3,40,93.6
1,1,5.24,5.12,105.2,0,0.3,20,65
1,1,5.24,5.12,105.2,0,0.3,10,46.6
1,1,4.42,2.57,630.3,0,0.3,100,43.1
1,1,4.42,2.57,630.3,0,0.3,80,39.6
1,1,4.42,2.57,630.3,0,0.3,60,35.2
1,1,4.42,2.57,630.3,0,0.3,50,31.9
1,1,4.42,2.57,630.3,0,0.3,40,29.7
1,1,4.42,2.57,630.3,0,0.3,20,24.2
1,1,4.42,2.57,630.3,0,0.3,10,19.7
0,1,19.82,2.84,259.8,0,0.3,100,61.8
0,1,19.82,2.84,259.8,0,0.3,80,53.9
0,1,19.82,2.84,259.8,0,0.3,60,46.2
0,1,19.82,2.84,259.8,0,0.3,50,40.7
0,1,19.82,2.84,259.8,0,0.3,40,37.4
0,1,19.82,2.84,259.8,0,0.3,20,25.3
0,1,19.82,2.84,259.8,0,0.3,10,19.5
0,0,4.31,2.65,603.8,0,0.3,100,166.4
0,0,4.31,2.65,603.8,0,0.3,80,150.8
0,0,4.31,2.65,603.8,0,0.3,60,134.3
0,0,4.31,2.65,603.8,0,0.3,50,123.3
0,0,4.31,2.65,603.8,0,0.3,40,112.2
0,0,4.31,2.65,603.8,0,0.3,20,82.6
0,0,4.31,2.65,603.8,0,0.3,10,58.1
0,0,36.69,15,128.7,2.69,14,100,274
0,0,36.69,15,128.7,2.69,14,80,258
0,0,36.69,15,128.7,2.69,14,60,239
0,0,36.69,15,128.7,2.69,14,50,226
0,0,36.69,15,128.7,2.69,14,40,212
0,0,36.69,15,128.7,2.69,14,20,164
0,0,36.69,15,128.7,2.69,14,10,94
0,0,14.55,39.1,208.9,1.34,14,100,367
0,0,14.55,39.1,208.9,1.34,14,80,331
0,0,14.55,39.1,208.9,1.34,14,60,289
0,0,14.55,39.1,208.9,1.34,14,50,268
0,0,14.55,39.1,208.9,1.34,14,40,245
0,0,14.55,39.1,208.9,1.34,14,20,180
0,0,14.55,39.1,208.9,1.34,14,10,108
0,0,15.98,32.8,108.4,1.64,14,100,419
0,0,15.98,32.8,108.4,1.64,14,80,402
0,0,15.98,32.8,108.4,1.64,14,60,379
0,0,15.98,32.8,108.4,1.64,14,50,370
0,0,15.98,32.8,108.4,1.64,14,40,355
0,0,15.98,32.8,108.4,1.64,14,20,303
0,0,15.98,32.8,108.4,1.64,14,10,225
0,0,100,5.35,17.3,0,0.3,50,225
0,0,100,5.35,17.3,0,0.3,40,218.6
0,0,100,5.35,17.3,0,0.3,20,197
0,0,100,5.35,17.3,0,0.3,10,165
0,0,78.06,5.35,31.1,0,0.3,50,171
0,0,78.06,5.35,31.1,0,0.3,40,163
0,0,78.06,5.35,31.1,0,0.3,20,135
0,0,78.06,5.35,31.1,0,0.3,10,111.8
0,0,64,5.35,49.2,0,0.3,50,156.4
0,0,64,5.35,49.2,0,0.3,40,148
0,0,64,5.35,49.2,0,0.3,20,125.6
0,0,64,5.35,49.2,0,0.3,10,101
0,0,41.57,5.35,68.8,0,0.3,50,148
0,0,41.57,5.35,68.8,0,0.3,40,141
0,0,41.57,5.35,68.8,0,0.3,20,118.8
0,0,41.57,5.35,68.8,0,0.3,10,104
0,0,43.52,4.52,64.3,0,0.3,50,164
0,0,43.52,4.52,64.3,0,0.3,40,156.8
0,0,43.52,4.52,64.3,0,0.3,20,135.4
0,0,43.52,4.52,64.3,0,0.3,10,117.6
0,0,38.68,3.65,43.1,0,0.3,50,221
0,0,38.68,3.65,43.1,0,0.3,40,208.8
0,0,38.68,3.65,43.1,0,0.3,20,169.8
0,0,38.68,3.65,43.1,0,0.3,10,145
1,0,8.84,15,66.2,8.22,0.3,10,262
0,0,8,15,453,4.2,0.3,10,396
0,1,4,1.56,1135,12,0.3,10,11
0,1,4,1.56,1135,12,0.3,20,13.4
0,1,4,1.56,1135,12,0.3,40,17
0,1,4,1.56,1135,12,0.3,50,17.4
0,1,4,0.35,1135,12,0.3,10,53
0,1,4,0.35,1135,12,0.3,20,77.5
1,0,62.92,28.38,41.37,3.51,14,100,218
1,0,62.92,28.38,41.37,3.51,14,10,28
1,0,20.35,14.51,157,0,0.3,80,337
1,0,20.35,14.51,157,0,0.3,60,317
1,0,20.35,14.51,157,0,0.3,50,304
1,0,20.35,14.51,157,0,0.3,40,287
1,0,20.35,14.51,157,0,0.3,20,233
1,0,20.35,14.51,157,0,0.3,10,186
1,0,23.73,11.58,157,0,0.3,80,535
1,0,23.73,11.58,157,0,0.3,60,511
1,0,23.73,11.58,157,0,0.3,50,501
1,0,23.73,11.58,157,0,0.3,40,486
1,0,23.73,11.58,157,0,0.3,20,443
1,0,23.73,11.58,157,0,0.3,10,400
1,0,22,9.76,157,0,0.3,80,477
1,0,22,9.76,157,0,0.3,60,457
1,0,22,9.76,157,0,0.3,50,440
1,0,22,9.76,157,0,0.3,40,424
1,0,22,9.76,157,0,0.3,20,376
1,0,22,9.76,157,0,0.3,10,334
0,0,19.26,21.04,157,0,0.3,80,583
0,0,19.26,21.04,157,0,0.3,60,564
0,0,19.26,21.04,157,0,0.3,50,555
0,0,19.26,21.04,157,0,0.3,40,543
